店名,评论,人均消费,总分数
 乐山鲜知味钵钵鸡(草堂北路店) ,16528,41,10.0
 喜茶(IFS黑金店) ,11643,23,10.0
 嘉州叶婆婆钵钵鸡(人民南路总店) ,9757,56,9.7
 陶德砂锅(蜀汉路店) ,16918,63,9.7
 兰正韩·韩国料理(春熙路店) ,9630,63,9.7
 味之绝美蛙鱼火锅(科华总店) ,12390,60,9.7
 成都吃客(奎星楼店) ,17025,51,9.7
 陶德砂锅(营门口店) ,10570,61,9.7
 嘉州叶婆婆钵钵鸡(太古里店) ,24696,57,9.7
 曼奈·肉桂厨房(宽窄巷子店) ,10443,70,9.4
 冒椒火辣(奎星楼街店) ,24026,70,9.4
 回水镇江湖川菜(太古里店) ,9677,73,9.4
 冒椒火辣(太古里店) ,11167,72,9.4
 牛水煮·牛肉水煮·川小馆(天府三街旗舰店) ,10383,64,9.4
 明婷饭店(外曹家巷店) ,17907,73,9.4
 皇城熙客?巴蜀大牌档(太古里店) ,7508,35,9.3
 宫廷糕点铺 ,7989,33,9.3
 WONDER ICE 萬得冰田(建設店) ,7697,41,9.3
 LELECHA乐乐茶(IFS国际金融中心店) ,8469,26,9.3
 饕林餐厅(太古里东升店) ,15149,75,9.1
 陈麻婆豆腐(旗舰店) ,16490,74,9.1
 赞酱川式烤肉(蜀都万达直营店) ,13256,77,9.1
 饕林餐厅(奎星楼店) ,10999,75,9.1
 凉山好汉自助西昌烧烤(太古里店) ,12023,75,9.1
 谢彬肥肠鸡(春熙路店) ,12232,75,9.1
 张烤鸭·川菜·非遗冒烤鸭(青石桥店) ,10824,74,9.1
 饕林餐厅(武侯祠店) ,13025,75,9.1
 和幸(春熙路群光广场店) ,13423,82,9.1
 味之绝美蛙鱼火锅(华阳二店) ,12303,74,9.1
 饕林餐厅(春熙路店) ,26774,75,9.1
 钢管厂五区小郡肝串串香(新华公园总店) ,8150,49,9.0
 乐山胖哥跷脚牛肉(东风路总店) ,7252,61,9.0
 黑竹香鸡(营和巷店) ,9241,61,9.0
 石灰石烧鸡公(太古里店) ,7888,61,9.0
 嗨岛兔·烤兔兔头四川特产(总店) ,8400,53,9.0
 乐山王屠夫跷脚牛肉(安公路总店) ,8301,58,9.0
 陶德砂锅(双楠店) ,8467,62,9.0
 烤匠麻辣烤鱼(万象城店) ,10740,92,8.8
 月满大江千层肚火锅(武侯祠店) ,14001,93,8.8
 重庆矮板凳老火锅(航空港店) ,19223,85,8.8
 鸡毛店·川菜(玉林店) ,9243,71,8.7
 坝坝老柴房·柴火鸡(西航港店) ,8254,69,8.7
 曼奈·肉桂厨房(光华店) ,9378,70,8.7
 张太婆老妈蹄花·川菜馆(太古里总店) ,9221,65,8.7
 巴蜀大宅门火锅(北门大桥店) ,8672,70,8.7
 永乐饭店 ,8778,65,8.7
 飞火令西昌自助烤肉(润扬双铁店) ,7480,66,8.7
 灶门坎烧烤·江湖大排档(太古里店) ,8594,66,8.7
 么哈(科华北路店) ,8079,66,8.7
 八二小区抄手(建中路店) ,6289,24,8.6
 钢一区伍妹烤鸭(牛市口店) ,5899,41,8.6
 奈雪的茶(国金IFS PRO店) ,5952,24,8.6
 MONDOLI ,6189,43,8.6
 全福居老北京涮羊肉(华阳店) ,10232,99,8.5
 蜀大侠火锅(春熙店) ,16556,103,8.5
 谭鸭血老火锅(太古里店) ,17704,102,8.5
 巴蜀大将火锅(武侯祠店) ,10568,97,8.5
 烤匠麻辣烤鱼(IFS店) ,23725,103,8.5
 烤匠麻辣烤鱼(春熙路群光广场店) ,15435,96,8.5
