店名,地址,评论,口味,环境,服务,总分数
 月满大江千层肚火锅(武侯祠店) , 通祠路8号（如家酒店楼下） ,14001,9.1,9.1,9.1,10.0
 饕林餐厅(武侯祠店) , 浆洗街15号附5号浆西荟商场2楼 ,13025,9.0,9.0,9.1,10.0
 陶德砂锅(营门口店) , 一环路西三段279号昭艺大厦一楼（四川省文化馆旁） ,10570,9.1,9.1,9.2,10.0
 烤匠麻辣烤鱼(IFS店) , 红星路三段1号成都IFS国际金融中心商场7楼L707号 ,23725,9.0,9.0,8.9,9.85
 陶德砂锅(蜀汉路店) , 蜀汉路494号附2号 ,16918,9.0,8.8,9.1,9.85
 川西坝子火锅(清江东路3.0直营店) , 清江东路8号附46号-48号 ,15785,8.9,9.0,9.0,9.85
 烤匠麻辣烤鱼(万象城店) , 双庆路8号万象城A馆3楼351号 ,10740,9.0,8.8,9.0,9.85
 回水镇江湖川菜(太古里店) , 武成大街7号-9号 ,9677,9.0,8.9,8.9,9.7
 饕林餐厅(春熙路店) , 学道街81号中电大厦1楼 ,26774,8.9,8.8,9.0,9.7
 五里关火锅(五里墩店) , 营康路4号附1号 ,13169,9.0,8.4,9.0,9.55
 五里关火锅(小关庙店) , 小关庙街45号附12号 ,17449,9.0,8.5,9.0,9.55
 海底捞火锅(春熙路群光广场店) , 春熙路南段8号1栋9楼9A-04A ,7710,9.1,9.1,9.1,9.45
 烤匠麻辣烤鱼(龙湖西宸天街店) , 花照壁西顺街399号首开龙湖成都西宸天街A馆4楼36-38号 ,7288,9.1,9.0,9.0,9.45
 龙翔山庄雷鸡肉(青城山店) , 青城后山泰安古镇 ,8830,9.1,9.1,9.2,9.45
 将军府壹号·鸡毛店(人民公园店) , 将军街1号达州宾馆二楼 ,8865,9.0,9.0,9.1,9.45
 吼堂老火锅(太古里总店) , 东大街下东大街段166号1-3层 ,21948,8.9,8.9,8.8,9.399999999999999
 原乡漫生活咖啡牛排馆(海棠湾店) , 金河路六段海棠湾4015号2楼 ,7994,8.9,9.0,9.0,9.3
