mid,mname,comments_num,per_capita_con,taste,environment,service,phone,address,details
1, MONDOLI ,6189,43,8.2,8.3,8.1, 18919578820 19938172541 , 天仙桥南路8号附10号 ,https://www.dianping.com/shop/k64ejSDGPw5Vqu0E
2, 马旺子(太古里店) ,24171,140,8.2,8.6,8.4, 028-64231923 , 东糠市街1号 ,https://www.dianping.com/shop/ivbjaqnpAdOCsiY4
3, 厘途·LittleTravel(猛追湾店) ,4109,47,8,8.1,8, 15158549689 18190826169 , 双桥子街道滨河路20号 ,https://www.dianping.com/shop/l4qCz8acyfI8M0ZM
4, SEWING MACHINE ,3884,20,8.2,7.8,8.1,13814891185, 双桥路151号附3号 ,https://www.dianping.com/shop/H9fznm01qrMm99eO
5, 饕林餐厅(春熙路店) ,26774,75,8.9,8.8,9,17360015857, 学道街81号中电大厦1楼 ,https://www.dianping.com/shop/G41gaJfqGBICtiVY
6, HYGGE Life·来福 ,4277,96,8.2,8.5,8.3, 18282595892 17380090638 , 芳华街25号附10号 ,https://www.dianping.com/shop/GafxmUxMY8tQKR9P
7, 长颈鹿Giraffe ,678,76,8.1,8.2,8.3, 17713605472 17713606554 , 芳草东街63号 ,https://www.dianping.com/shop/G996XdATUp8aIXia
8, 城墙边私房菜(宝瓶巷店) ,1782,60,8.4,8.3,8.4,18011511767, 灌口街道宝瓶巷48-49号（宝瓶巷旁边的城墙巷子） ,https://www.dianping.com/shop/H8musShGdSiRuGaL
9, The bon House李本家(玉林生活广场店) ,6276,63,8.2,8,8.4, 028-86740322 , 玉林南路15号玉林生活广场1楼（1号电梯旁） ,https://www.dianping.com/shop/k3F3mf6nuwVajFaW
10, 常识咖啡common sense(春熙路店) ,3170,26,8.3,8.2,8.4, 028-67831918 , 华兴东街4号 ,https://www.dianping.com/shop/irKop4LiLQFLFhUo
11, 和幸(春熙路群光广场店) ,13423,82,8.2,8.3,8.3, 028-86662616 , 春熙路南段8号群光广场8楼 ,https://www.dianping.com/shop/l298M1DDkIDspN7s
12, 無早小食 ,5069,86,8.2,8.5,8.3,18080150921, 青莲上街5号附2号 ,https://www.dianping.com/shop/H3DeKhRHOo0httzM
13, 成都吃客(奎星楼店) ,17025,51,8.3,7.8,8.2, 028-86693617 18113177841 , 奎星楼街10号附3号 ,https://www.dianping.com/shop/jsWjiE6Ke7d4vBOO
14, 饕林餐厅(武侯祠店) ,13025,75,9,9,9.1, 028-81582999 19108207757 , 浆洗街15号附5号浆西荟商场2楼 ,https://www.dianping.com/shop/H2FMjQzYwVeDI5Si
15, 巴蜀大宅门火锅(北门大桥店) ,8672,70,8.5,8.3,8.4, 028-86920870 , 草市街街道北大街91号(近四川书市) ,https://www.dianping.com/shop/Fsi1jpQfkYonVjaz
16, 芙蓉凰花园酒楼 ,6178,119,8,7.9,7.7, 028-87346868 , 光华村街66号附16-17号 ,https://www.dianping.com/shop/k7yhr2NklVtq2osk
17, 组织向南 ,5105,98,8.2,7.9,8.3,13281128182, 万象南路669号象南里1栋209、210、211、224号 ,https://www.dianping.com/shop/FjBUdw3NObgSzx5W
18, 冒椒火辣(奎星楼街店) ,24026,70,8.1,7.7,7.8,18190766158, 奎星楼街33号（近宽窄巷子） ,https://www.dianping.com/shop/l8xwcd1xbMBOSnNH
19, 陶德砂锅(双楠店) ,8467,62,9,8.9,9.1, 028-85086669 , 置信路3号 ,https://www.dianping.com/shop/k5QKVg89HDrFwBcq
20, Lian尚莲越泰料理(太古里店) ,5867,215,8.6,8.9,8.7, 028-81134838 , 中纱帽街8号成都远洋太古里25栋2层2320号商铺 ,https://www.dianping.com/shop/l5RQ2GrQI9CSAqXI
21, La Terre乐田(仁和新城店) ,4984,105,8.9,9.1,9.1, 028-86666609 , 府城大道西段505号仁和新城购物中心B座1楼151号（唐宫楼下） ,https://www.dianping.com/shop/imzWz4YCzl2yeJCx
22, 玥轩YUE HIN(IFS国际金融中心店) ,7717,303,8.7,9,8.9,19980703556, 红星路三段1号成都国际金融中心成都尼依格罗酒店2楼 ,https://www.dianping.com/shop/G8qOcCTilM0ViPl0
23, 画厨CAFE(川大店) ,6051,73,8.3,8.8,8.7, 028-86272713 , 科华街5号附1号【近蓝色加勒比广场】 ,https://www.dianping.com/shop/G9J8JH3cjFKQZWDW
24, 钦善斋·养生膳食(武侯祠店) ,9260,105,8.2,8.3,8.2, 028-85053333 , 武侯祠大街247号（成都武侯祠博物馆西南80米处） ,https://www.dianping.com/shop/l4tBn5fFXTFOueuN
25, 比萨先生PIZZAMAN ,5377,93,8.3,8.4,8.6,13699000351, 吉祥街33号附6号 ,https://www.dianping.com/shop/H6EaJrQUHbHTgwHK
26, 凛火烧鸟酒场(高新店) ,4649,142,8.3,8.7,8.9, 028-81717737 13398319713 , 天府二街建发鹭洲里A区周大福门口观光电梯上四楼 ,https://www.dianping.com/shop/l7g4HVtZrvgtzuDG
27, Wehouse维豪斯西餐(银泰中心in99店) ,15622,139,8.2,8.6,8.2,18482327989, 天府大道北段1199号银泰中心in997层718号 ,https://www.dianping.com/shop/H8HocHcu3TQOqIza
28, 陶德砂锅(营门口店) ,10570,61,9.1,9.1,9.2, 028-83359998 , 一环路西三段279号昭艺大厦一楼（四川省文化馆旁） ,https://www.dianping.com/shop/k1WoixJStTEHea6k
29, 都氏二当家(ifs旗舰店) ,8963,156,8.8,9.1,9, 028-86780088 , 红星路三段1号IFS国际金融中心7楼L706号 ,https://www.dianping.com/shop/k3aewPVcInNmn3ZB
30, 薛涛院子里·中餐茶艺(三圣乡店) ,1537,216,8.3,8.9,8.2, 028-84778488 19940822086 , 三圣乡幸福梅林幸福西路路口 ,https://www.dianping.com/shop/l8sMqld0c0ldiUgw
31, 都氏二当家(仁和新城店) ,7450,148,8.4,9,8.4, 028-85311188 , 府城大道西段505号仁和新城5楼519号(地铁五号线C2出口/市一医院对面)（电影院旁） ,https://www.dianping.com/shop/G1TWUdpFIhvYOPbO
32, 云门·兰亭(太古里店) ,2192,188,8.9,9,9.1, 18181985801 18181981561 , 东风路29号未来中心商场5楼（商场二号门观光电梯直达） ,https://www.dianping.com/shop/k4YMoyID0ZLJKHjG
33, 御苑精品川菜馆(锦江店) ,2457,98,9.1,9,9.1, 028-84547999 028-84515666 , 龙舟路秀城大厦2楼59号附1号 ,https://www.dianping.com/shop/k76z2vHK0CvzO5jd
34, Kevin's Laboratory(电子科大店) ,1204,96,8.7,8.8,8.9,13308219279, 天骄路龙湖时代天街15栋102（马路背面） ,https://www.dianping.com/shop/G3pk3iTfyd3WSzFB
35, 辛厨房 ,1956,180,8.7,8.4,8.7, 18190882790 028-83413003 , 高远一路15号7322创意园区B12 ,https://www.dianping.com/shop/l5ANIqHPG4rZ61b9
36, 将军府壹号·鸡毛店(人民公园店) ,8865,76,9,9,9.1,17828145188, 将军街1号达州宾馆二楼 ,https://www.dianping.com/shop/Ga9V6oirUkZUmioT
37, 蓉和妈妈菜·巴山蜀水(双流锦镇店) ,3104,68,8.2,8.3,8.2, 028-61909988 028-85696688 , 航鹰东路86-112号（锦镇香墅29栋底商） ,https://www.dianping.com/shop/G6jKMr2k9JhtZUw5
